PA,3,87,w1,w2,w3,2
Index,d,SE,1,5,25,
0,0,0,0,0,0,
1,1,1,1,0,0,
2,2,4,2,0,0,
3,3,5,-2,1,0,
4,4,2,-1,1,0,
5,5,1,0,1,0,
6,6,2,1,1,0,
7,7,5,2,1,0,
8,8,8,-2,2,0,
9,9,5,-1,2,0,
10,10,4,0,2,0,
11,11,5,1,2,0,
12,12,8,2,2,0,
13,13,9,-2,-2,1,
14,14,6,-1,-2,1,
15,15,5,0,-2,1,
16,16,6,1,-2,1,
17,17,9,2,-2,1,
18,18,6,-2,-1,1,
19,19,3,-1,-1,1,
20,20,2,0,-1,1,
21,21,3,1,-1,1,
22,22,6,2,-1,1,
23,23,5,-2,0,1,
24,24,2,-1,0,1,
25,25,1,0,0,1,
26,26,2,1,0,1,
27,27,5,2,0,1,
28,28,6,-2,1,1,
29,29,3,-1,1,1,
30,30,2,0,1,1,
31,31,3,1,1,1,
32,32,5,0,-1,-2,
33,33,6,1,-1,-2,
34,34,6,-1,2,1,
35,35,5,0,2,1,
36,36,5,-1,0,-2,
37,37,4,0,0,-2,
38,38,5,1,0,-2,
39,39,8,2,0,-2,
40,40,8,0,-2,2,
41,41,6,-1,1,-2,
42,42,5,0,1,-2,
43,43,6,1,1,-2,
44,44,6,-1,-1,2,
45,45,5,0,-1,2,
46,46,6,1,-1,2,
47,47,8,0,2,-2,
48,48,8,-2,0,2,
49,49,5,-1,0,2,
50,50,4,0,0,2,
51,51,5,1,0,2,
52,52,5,0,-2,-1,
53,53,6,1,-2,-1,
54,54,6,-1,1,2,
55,55,5,0,1,2,
56,56,3,-1,-1,-1,
57,57,2,0,-1,-1,
58,58,3,1,-1,-1,
59,59,6,2,-1,-1,
60,60,5,-2,0,-1,
61,61,2,-1,0,-1,
62,62,1,0,0,-1,
63,63,2,1,0,-1,
64,64,5,2,0,-1,
65,65,6,-2,1,-1,
66,66,3,-1,1,-1,
67,67,2,0,1,-1,
68,68,3,1,1,-1,
69,69,6,2,1,-1,
70,70,9,-2,2,-1,
71,71,6,-1,2,-1,
72,72,5,0,2,-1,
73,73,6,1,2,-1,
74,74,9,2,2,-1,
75,75,8,-2,-2,0,
76,76,5,-1,-2,0,
77,77,4,0,-2,0,
78,78,5,1,-2,0,
79,79,8,2,-2,0,
80,80,5,-2,-1,0,
81,81,2,-1,-1,0,
82,82,1,0,-1,0,
83,83,2,1,-1,0,
84,84,5,2,-1,0,
85,85,4,-2,0,0,
86,86,1,-1,0,0,
"	",TSE,406,,,,
"	",MSE,1.555555556,,,,
"	",PSNR,46.21194835,,,,
