RPA,3,32,w1,w2,w3,2
Index,d,SE,1,4,14,
0,0,0,0,0,0,
1,1,1,1,0,0,
2,2,5,-2,1,0,
3,3,2,-1,1,0,
4,4,1,0,1,0,
5,5,5,1,0,-2,
6,6,5,0,-2,1,
7,7,5,-1,2,0,
8,8,5,0,1,-2,
9,9,3,-1,-1,1,
10,10,2,0,-1,1,
11,11,3,1,-1,1,
12,12,5,-2,0,1,
13,13,2,-1,0,1,
14,14,1,0,0,1,
15,15,3,1,-1,-1,
16,16,6,-2,1,1,
17,17,3,-1,1,1,
18,18,1,0,0,-1,
19,19,2,1,0,-1,
20,20,5,2,0,-1,
21,21,3,-1,1,-1,
22,22,2,0,1,-1,
23,23,3,1,1,-1,
24,24,5,0,-1,2,
25,25,5,1,-2,0,
26,26,5,0,2,-1,
27,27,5,-1,0,2,
28,28,1,0,-1,0,
29,29,2,1,-1,0,
30,30,5,2,-1,0,
31,31,1,-1,0,0,
,TSE,102,,,,
,MSE,1.0625,,,,
,PSNR,47.86751422,,,,
